#Keys,Bloom8,Bloom10,Xor8,Xor16,
10000,128.000000,160.000000,1.233200,2.466400,
100000,128.000000,160.000000,1.230320,2.460640,
1000000,128.000000,160.000000,1.230032,2.460064,
10000000,128.000000,160.000000,1.230003,2.460006,
100000000,
