#Keys,Bloom8,Bloom10,Xor8,Xor16,
10000,1280000.000000,1600000.000000,12332.000000,24664.000000,
100000,12800000.000000,16000000.000000,123032.000000,246064.000000,
1000000,128000000.000000,160000000.000000,1230032.000000,2460064.000000,
10000000,1280000000.000000,1600000000.000000,12300032.000000,24600064.000000,
100000000,
