#Keys,Bloom8,Bloom10,Xor8,Xor16,
10000,0.000306,0.000369,0.002984,0.003801,
100000,0.000294,0.000342,0.002950,0.002933,
1000000,0.000316,0.000366,0.004022,0.004027,
10000000,0.000333,0.000392,0.004570,
