#Keys,Bloom8,Bloom10,Xor8,Xor16,
10000,3.058071,3.689304,29.835104,38.009132,
100000,29.412924,34.222065,294.968536,293.333252,
1000000,315.505280,365.747070,4021.648438,4027.018799,
10000000,3332.555908,3922.077148,45700.937500,47592.199219,
100000000,
