FractionKeysNotInSet,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
0.250000,278.837952,315.416321,390.877411,502.379578,74.051498,75.097221,
0.500000,232.528854,256.521088,309.367920,385.159607,74.279961,75.399063,
0.750000,187.442474,197.429092,226.156616,263.981750,74.745377,76.246605,

