FractionKeysNotInSet,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
0.250000,0.000307,0.000358,0.000456,0.000604,0.003992,0.003988,
0.500000,0.000308,0.000358,0.000456,0.000605,0.003984,0.003992,
0.750000,0.000307,0.000358,0.000457,0.000608,0.003991,0.003991,

