#Keys,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
10000,0.020672,0.008499,0.003575,0.000600,0.003950,0.000125,
100000,0.021522,0.008232,0.003050,0.000430,0.003990,0.000027,
1000000,0.021607,0.008133,0.003205,0.000470,0.003877,0.000016,
10000000,0.021633,0.008189,0.003166,0.000474,0.003886,0.000015,

