#Keys,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
10000,172.689850,179.053543,202.606628,225.467361,66.761673,71.498154,
100000,170.288330,172.728195,192.115158,224.056427,65.649559,70.554520,
1000000,178.620575,187.662369,213.021393,240.988800,75.349106,76.528275,
10000000,194.351288,233.652390,248.732834,300.522522,99.961258,115.628952,

