#Keys,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
10000,3.136959,3.612495,4.586427,5.957206,28.971777,34.146484,
100000,30.027481,34.172394,43.357605,57.550255,291.884766,296.588074,
1000000,310.858398,358.831848,457.686707,605.310425,3992.847656,3983.656738,
10000000,3257.784180,4470.237793,5284.926270,7679.520508,45416.414062,45513.921875,

