#Keys,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
10000,0.024600,0.008700,0.003600,0.000500,0.003600,0.000100,
100000,0.021410,0.008130,0.003470,0.000490,0.003780,0.000030,
1000000,0.021536,0.008248,0.003275,0.000467,0.003834,0.000018,
10000000,0.021564,0.008212,0.003168,0.000462,0.003937,0.000015,

