#Keys,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
10000,3.075968,3.548020,4.566714,5.961051,28.741405,29.014347,
100000,29.818508,34.396008,43.615574,57.510723,296.224548,295.430054,
1000000,309.948700,364.369476,462.904541,609.231812,4052.238770,4026.463623,
10000000,3388.078857,3951.851562,4997.057617,7355.760254,45718.757812,46880.789062,

