#Keys,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
10000,1.000000,1.250000,1.500000,2.000000,1.233200,2.466400,
100000,1.000000,1.250000,1.500000,2.000000,1.230320,2.460640,
1000000,1.000000,1.250000,1.500000,2.000000,1.230032,2.460064,
10000000,1.000000,1.250000,1.500000,2.000000,1.230003,2.460006,

