#Keys,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
10000,10000.000000,12500.000000,15000.000000,20000.000000,12332.000000,24664.000000,
100000,100000.000000,125000.000000,150000.000000,200000.000000,123032.000000,246064.000000,
1000000,1000000.000000,1250000.000000,1500000.000000,2000000.000000,1230032.000000,2460064.000000,
10000000,10000000.000000,12500000.000000,15000000.000000,20000000.000000,12300032.000000,24600064.000000,

