#Keys,Bloom8,Bloom10,Bloom12,Bloom16,Xor8,Xor16,
10000,0.000309,0.000377,0.000473,0.000593,0.003517,0.003060,
100000,0.000299,0.000353,0.000436,0.000580,0.003134,0.003479,
1000000,0.000309,0.000363,0.000463,0.000607,0.004002,0.004012,
10000000,0.000327,0.000384,0.000564,0.000882,0.004532,0.004553,

